crop_name,image_url,dominant_color
x(임시),https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
가지,https://static.farmmorning.com/crop/20230725/common_ic_eggplant.png,#581dbe
각구도라,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
감,https://static.farmmorning.com/crop/20230725/common_ic_persimmon.png,#fe670b
감귤,https://static.farmmorning.com/crop/20230725/common_ic_mandarin.png,#fa8138
감자,https://static.farmmorning.com/crop/20230725/common_ic_potato.png,#cca470
강낭콩,https://static.farmmorning.com/crop/20230725/common_ic_red-bean.png,#a7445e
개나리,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
개미취,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
개양귀비,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
거베라,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
거취옥,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
고구마,https://static.farmmorning.com/crop/20230725/common_ic_sweet-potato.png,#a8297f
고데치아,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
고무나무,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
고추,https://static.farmmorning.com/crop/20230725/common_ic_pepper.png,#d3212e
골드킹,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
골든볼,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
공작초,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
과꽃,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
관음죽,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
광나무,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
국화,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
군자란,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
그람버,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
극락조화,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
글라디올러스,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
글로리오사,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
글록시니아,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
금귤,https://static.farmmorning.com/crop/20230725/common_ic_mandarin.png,#fa8138
금꿩의다리,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
금낭화,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
금사철,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
금어초,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
금잔화,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
금황환철화,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
기린초,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
깻잎,https://static.farmmorning.com/crop/20230725/common_ic_perilla-leaf.png,#2dd489
꽃고추,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
꽃기린,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
꽃베고니아,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
꽃사과나무,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
꽃호박,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
꽈리,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
나팔꽃,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
낙산홍,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
낙엽관목류,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
낙엽교목류,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
남제옥,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
남천,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
냉이초,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
네모필라,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
네프로네피스,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
노단새,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
노무라,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
능소화,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
니겔라,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
니포피아,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
다래,https://static.farmmorning.com/crop/20230725/common_ic_kiwi.png,#1dc55f
다알리아,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
다정금,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
단풍,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
담쟁이,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
당근,https://static.farmmorning.com/crop/20230725/common_ic_carrot.png,#fb5e01
대추,https://static.farmmorning.com/crop/20230725/common_ic_jujube.png,#b72526
대파,https://static.farmmorning.com/crop/20230725/common_ic_leek.png,#15b063
데이지,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
덴드로비움,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
덴파레,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
델피늄,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
델피니움,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
도라지,https://static.farmmorning.com/crop/20230725/common_ic_bellflower-root.png,#6e44bb
돈나무,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
동백,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
동백나무,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
동양란,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
동양심비,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
두릅나무,https://static.farmmorning.com/crop/20230725/common_ic_aralia-elata.png,#159245
두메,https://static.farmmorning.com/crop/20230725/common_ic_leaf.png,#39cf69
